Zip Code,Choice1,Choice2,Choice3,Choice4
68464,Texas,Pennsylvania,Georgia,California
02575,Texas,Pennsylvania,Georgia,California
91521,California,Pennsylvania,Texas,Georgia
78379,Texas,Georgia,Pennsylvania,California
42377,Texas,Pennsylvania,Georgia,California
45866,Georgia,Pennsylvania,Texas,California
23501,Pennsylvania,Georgia,Texas,California
20597,Pennsylvania,Texas,Georgia,California
24020,Georgia,Texas,California,Pennsylvania
38568,Texas,Pennsylvania,Georgia,California
54119,Georgia,Pennsylvania,Texas,California
33493,Georgia,Pennsylvania,California,Texas
55733,Georgia,Pennsylvania,Texas,California
20544,Pennsylvania,Georgia,Texas,California
75851,Texas,California,Georgia,Pennsylvania
04495,Pennsylvania,Georgia,Texas,California
25045,Georgia,Pennsylvania,Texas,California
01226,Pennsylvania,Georgia,Texas,California
41729,Pennsylvania,Texas,Georgia,California
37034,Pennsylvania,Georgia,Texas,California
72513,Texas,California,Georgia,Pennsylvania
31792,Georgia,Texas,Pennsylvania,California
21670,Pennsylvania,Georgia,Texas,California
38563,Georgia,California,Texas,Pennsylvania
19456,Pennsylvania,Georgia,Texas,California
01203,Texas,Georgia,Pennsylvania,California
13628,Pennsylvania,Georgia,Texas,California
02050,Pennsylvania,Georgia,Texas,California
42085,Texas,Georgia,Pennsylvania,California
40826,Pennsylvania,Georgia,California,Texas
47202,Georgia,Pennsylvania,California,Texas
33620,Georgia,Texas,Pennsylvania,California
97870,California,Georgia,Texas,Pennsylvania
19066,Pennsylvania,Georgia,Texas,California
52099,Pennsylvania,California,Texas,Georgia
21632,Pennsylvania,Texas,Georgia,California
81653,Texas,California,Pennsylvania,Georgia
75010,Texas,California,Georgia,Pennsylvania
33328,Georgia,Texas,Pennsylvania,California
93022,California,Texas,Pennsylvania,Georgia
91921,California,Texas,Pennsylvania,Georgia
03084,Pennsylvania,Texas,Georgia,California
33973,Georgia,Texas,Pennsylvania,California
19896,Pennsylvania,Georgia,Texas,California
75605,Texas,California,Georgia,Pennsylvania
86436,California,Texas,Georgia,Pennsylvania
06878,Pennsylvania,Texas,Georgia,California
98294,California,Georgia,Pennsylvania,Texas
97722,California,Texas,Georgia,Pennsylvania
25375,Georgia,Pennsylvania,Texas,California
54137,Texas,Pennsylvania,Georgia,California
93519,California,Texas,Pennsylvania,Georgia
07866,Pennsylvania,Georgia,Texas,California
50107,Texas,Pennsylvania,Georgia,California
40506,Pennsylvania,Texas,Georgia,California
73554,Texas,California,Georgia,Pennsylvania
19610,Pennsylvania,Georgia,Texas,California
29138,Georgia,Pennsylvania,Texas,California
78343,Texas,Pennsylvania,Georgia,California
27576,Texas,Georgia,Pennsylvania,California
39216,Texas,Pennsylvania,Georgia,California
27055,Georgia,Pennsylvania,Texas,California
63628,Pennsylvania,Georgia,Texas,California
45307,Georgia,Pennsylvania,Texas,California
95944,California,Texas,Georgia,Pennsylvania
55810,Texas,Georgia,Pennsylvania,California
38316,Georgia,Texas,Pennsylvania,California
72666,Georgia,Pennsylvania,Texas,California
20555,Pennsylvania,Texas,Georgia,California
27042,Georgia,Pennsylvania,Texas,California
32948,Georgia,Texas,Pennsylvania,California
94299,California,Texas,Georgia,Pennsylvania
30046,Texas,Georgia,Pennsylvania,California
68623,Pennsylvania,Georgia,Texas,California
38014,Georgia,Texas,Pennsylvania,California
96013,California,Texas,Georgia,Pennsylvania
78730,Texas,California,Georgia,Pennsylvania
87901,California,Texas,Pennsylvania,Georgia
17018,Pennsylvania,Georgia,Texas,California
56561,Georgia,Pennsylvania,Texas,California
86015,California,Texas,Pennsylvania,Georgia
33137,Pennsylvania,Georgia,California,Texas
50518,Texas,Pennsylvania,Georgia,California
21841,Pennsylvania,Georgia,Texas,California
32206,Georgia,Texas,Pennsylvania,California
74187,Texas,Pennsylvania,Georgia,California
12143,Pennsylvania,Texas,Georgia,California
14519,Pennsylvania,Texas,Georgia,California
62022,Texas,Pennsylvania,California,Georgia
27256,Georgia,Texas,California,Pennsylvania
76239,Texas,California,Pennsylvania,Georgia
16635,Pennsylvania,Georgia,Texas,California
10997,Pennsylvania,Georgia,Texas,California
63954,Texas,California,Pennsylvania,Georgia
02477,Pennsylvania,Texas,Georgia,California
13417,Pennsylvania,Georgia,Texas,California
59755,Texas,California,Pennsylvania,Georgia
59487,Texas,California,Pennsylvania,Georgia
60714,Texas,Pennsylvania,Georgia,California
39153,Texas,Pennsylvania,Georgia,California
03855,Pennsylvania,Georgia,Texas,California
83014,Texas,California,Pennsylvania,Georgia
25571,Georgia,Pennsylvania,Texas,California
04002,Pennsylvania,Texas,Georgia,California
83825,California,Texas,Georgia,Pennsylvania
25676,Georgia,Pennsylvania,Texas,California
76444,Texas,California,Pennsylvania,Georgia
85249,California,Pennsylvania,Texas,Georgia
67512,Texas,Georgia,Pennsylvania,California
20817,Pennsylvania,Georgia,Texas,California
61233,California,Texas,Pennsylvania,Georgia
84125,California,Texas,Pennsylvania,Georgia
61258,Georgia,Texas,Pennsylvania,California
95667,California,Texas,Georgia,Pennsylvania
16655,Pennsylvania,Georgia,Texas,California
17888,Pennsylvania,Georgia,Texas,California
63826,Texas,Pennsylvania,California,Georgia
80923,Texas,Pennsylvania,California,Georgia
64832,Texas,Georgia,Pennsylvania,California
61254,Georgia,Texas,Pennsylvania,California
36079,Texas,Georgia,Pennsylvania,California
73020,Texas,California,Georgia,Pennsylvania
76888,Texas,California,Georgia,Pennsylvania
19139,Pennsylvania,Georgia,Texas,California
61730,Texas,Pennsylvania,Georgia,California
28306,Georgia,Pennsylvania,California,Texas
93043,California,Pennsylvania,Texas,Georgia
73044,Texas,California,Georgia,Pennsylvania
91346,California,Texas,Pennsylvania,Georgia
02379,Pennsylvania,Georgia,Texas,California
74525,Georgia,Pennsylvania,Texas,California
06379,Pennsylvania,Georgia,Texas,California
97344,Georgia,California,Pennsylvania,Texas
34983,Georgia,Texas,Pennsylvania,California
62828,Georgia,Texas,Pennsylvania,California
33124,Georgia,Texas,Pennsylvania,California
21402,Pennsylvania,Georgia,Texas,California
61270,Georgia,Texas,Pennsylvania,California
16876,Pennsylvania,Georgia,Texas,California
42376,Texas,Georgia,Pennsylvania,California
72474,Texas,California,Georgia,Pennsylvania
58620,Texas,California,Georgia,Pennsylvania
95851,California,Texas,Georgia,Pennsylvania
31156,Texas,Georgia,Pennsylvania,California
78218,Texas,Georgia,California,Pennsylvania
53963,Texas,Pennsylvania,Georgia,California
12543,Pennsylvania,Georgia,Texas,California
71008,Texas,California,Georgia,Pennsylvania
85201,Texas,Pennsylvania,California,Georgia
43623,Georgia,Pennsylvania,Texas,California
54015,Pennsylvania,Texas,California,Georgia
49650,Pennsylvania,Georgia,Texas,California
45869,Pennsylvania,Georgia,California,Texas
37342,Texas,Georgia,Pennsylvania,California
24918,Georgia,Pennsylvania,Texas,California
10926,Pennsylvania,Texas,Georgia,California
72336,Texas,California,Pennsylvania,Georgia
51241,Texas,Pennsylvania,Georgia,California
17607,Pennsylvania,Georgia,Texas,California
13027,Pennsylvania,Texas,Georgia,California
92134,California,Texas,Pennsylvania,Georgia
58338,California,Pennsylvania,Georgia,Texas
40965,Georgia,Pennsylvania,Texas,California
19964,Pennsylvania,Georgia,Texas,California
79932,Texas,California,Georgia,Pennsylvania
44638,Georgia,Pennsylvania,Texas,California
89151,California,Georgia,Texas,Pennsylvania
12147,Pennsylvania,Georgia,Texas,California
96021,California,Texas,Pennsylvania,Georgia
35082,Georgia,California,Texas,Pennsylvania
12770,Georgia,Texas,Pennsylvania,California
46928,Georgia,Pennsylvania,Texas,California
18065,Pennsylvania,Georgia,Texas,California
30741,Georgia,Texas,Pennsylvania,California
17010,Pennsylvania,Georgia,Texas,California
38725,Texas,Pennsylvania,Georgia,California
43335,Pennsylvania,Georgia,Texas,California
70874,Texas,Georgia,Pennsylvania,California
22841,Pennsylvania,Georgia,Texas,California
83303,California,Texas,Georgia,Pennsylvania
44115,Georgia,Pennsylvania,Texas,California
32452,Texas,Georgia,Pennsylvania,California
12944,Pennsylvania,Texas,Georgia,California
73002,Texas,California,Georgia,Pennsylvania
35133,Georgia,Pennsylvania,Texas,California
93962,Texas,California,Georgia,Pennsylvania
75440,Texas,California,Georgia,Pennsylvania
49835,Georgia,Texas,Pennsylvania,California
60566,California,Texas,Pennsylvania,Georgia
53090,Georgia,California,Texas,Pennsylvania
55726,Texas,Georgia,Pennsylvania,California
99211,California,Georgia,Texas,Pennsylvania
29290,Georgia,Texas,Pennsylvania,California
46142,Georgia,Texas,Pennsylvania,California
81654,Texas,Georgia,California,Pennsylvania
27867,Pennsylvania,Texas,Georgia,California
33801,Georgia,Texas,Pennsylvania,California
20053,Pennsylvania,Texas,Georgia,California
55485,Texas,Pennsylvania,California,Georgia
46731,Texas,Georgia,Pennsylvania,California
06409,Pennsylvania,Georgia,Texas,California
77670,Texas,Pennsylvania,Georgia,California
75859,Texas,Pennsylvania,Georgia,California
85731,California,Georgia,Texas,Pennsylvania
44122,Pennsylvania,Georgia,California,Texas
98505,California,Texas,Georgia,Pennsylvania
50623,Texas,Pennsylvania,Georgia,California
65766,Georgia,Texas,Pennsylvania,California
94913,California,Texas,Georgia,Pennsylvania
17015,Pennsylvania,Georgia,California,Texas
05356,Pennsylvania,Georgia,Texas,California
32544,Georgia,California,Texas,Pennsylvania
74501,Georgia,Pennsylvania,Texas,California
72058,California,Texas,Georgia,Pennsylvania
21720,Pennsylvania,Georgia,Texas,California
41149,Georgia,California,Pennsylvania,Texas
21741,Pennsylvania,Georgia,California,Texas
54537,Pennsylvania,Georgia,Texas,California
93245,California,Texas,Pennsylvania,Georgia
58054,Pennsylvania,Georgia,Texas,California
03588,Pennsylvania,Georgia,Texas,California
71233,Georgia,California,Texas,Pennsylvania
75846,Texas,Pennsylvania,Georgia,California
40371,Pennsylvania,Texas,Georgia,California
28231,Georgia,Texas,California,Pennsylvania
61625,Texas,Pennsylvania,Georgia,California
06410,Pennsylvania,Georgia,Texas,California
65786,Georgia,Texas,Pennsylvania,California
20437,Pennsylvania,Georgia,Texas,California
77024,Texas,Georgia,California,Pennsylvania
83857,California,Texas,Georgia,Pennsylvania
29472,Georgia,Pennsylvania,Texas,California
95418,California,Texas,Georgia,Pennsylvania
30517,Texas,Georgia,Pennsylvania,California
46565,Texas,Georgia,Pennsylvania,California
59736,California,Texas,Pennsylvania,Georgia
44865,Georgia,Pennsylvania,Texas,California
80995,Texas,California,Pennsylvania,Georgia
95950,California,Texas,Georgia,Pennsylvania
55328,Texas,Georgia,Pennsylvania,California
49307,Georgia,Pennsylvania,Texas,California
94119,California,Georgia,Texas,Pennsylvania
30426,Georgia,Texas,Pennsylvania,California
23031,Pennsylvania,Georgia,Texas,California
71129,Texas,Pennsylvania,Georgia,California
14785,Pennsylvania,Georgia,Texas,California
14551,Pennsylvania,Texas,Georgia,California
91976,California,Texas,Pennsylvania,Georgia
04363,Georgia,Pennsylvania,Texas,California
48313,Georgia,Pennsylvania,Texas,California
65664,Texas,Georgia,Pennsylvania,California
17573,Pennsylvania,Georgia,Texas,California
91404,California,Texas,Pennsylvania,Georgia
98577,California,Texas,Georgia,Pennsylvania
49751,Georgia,Texas,Pennsylvania,California
11425,Pennsylvania,Georgia,Texas,California
01703,Pennsylvania,Texas,California,Georgia
47588,Pennsylvania,Texas,Georgia,California
74366,Georgia,Texas,California,Pennsylvania
29565,Georgia,Pennsylvania,Texas,California
44138,Pennsylvania,Georgia,California,Texas
77058,Texas,California,Georgia,Pennsylvania
64166,Texas,Georgia,Pennsylvania,California
54479,Texas,Pennsylvania,Georgia,California
37183,Georgia,Texas,Pennsylvania,California
45036,Georgia,Pennsylvania,Texas,California
20340,Pennsylvania,Georgia,Texas,California
50659,Texas,California,Pennsylvania,Georgia
97238,California,Texas,Georgia,Pennsylvania
68845,Texas,California,Pennsylvania,Georgia
48865,Georgia,Pennsylvania,Texas,California
82059,Texas,California,Pennsylvania,Georgia
72322,Texas,Georgia,California,Pennsylvania
15489,Pennsylvania,Texas,Georgia,California
50258,Texas,Pennsylvania,Georgia,California
13778,Texas,Pennsylvania,Georgia,California
48885,Georgia,Pennsylvania,Texas,California
90022,California,Pennsylvania,Georgia,Texas
53181,Texas,Pennsylvania,California,Georgia
63342,Georgia,California,Texas,Pennsylvania
07980,Pennsylvania,Georgia,Texas,California
01073,Pennsylvania,Texas,Georgia,California
02447,Pennsylvania,Georgia,Texas,California
77383,Texas,California,Pennsylvania,Georgia
48044,Georgia,Pennsylvania,Texas,California
56256,Georgia,California,Texas,Pennsylvania
23664,Pennsylvania,Georgia,Texas,California
77477,Texas,Georgia,Pennsylvania,California
58438,Georgia,Pennsylvania,Texas,California
76004,Texas,California,Georgia,Pennsylvania
62434,Texas,Pennsylvania,Georgia,California
59112,Texas,California,Pennsylvania,Georgia
58381,Georgia,Pennsylvania,Texas,California
38002,Texas,Georgia,Pennsylvania,California
38318,Texas,Georgia,Pennsylvania,California
36201,Georgia,California,Texas,Pennsylvania
57269,Texas,California,Pennsylvania,Georgia
26818,Pennsylvania,Georgia,Texas,California
31598,Georgia,Pennsylvania,Texas,California
49891,Texas,California,Georgia,Pennsylvania
72679,Texas,California,Georgia,Pennsylvania
53544,Texas,Pennsylvania,Georgia,California
19141,Pennsylvania,Georgia,California,Texas
78633,Texas,California,Pennsylvania,Georgia
07017,Pennsylvania,Georgia,Texas,California
70548,Texas,Georgia,Pennsylvania,California
29652,Georgia,Pennsylvania,Texas,California
92317,California,Texas,Pennsylvania,Georgia
97225,California,Texas,Georgia,Pennsylvania
61723,Texas,Pennsylvania,Georgia,California
61917,Texas,Georgia,Pennsylvania,California
33303,Georgia,Texas,Pennsylvania,California
29369,Georgia,Pennsylvania,Texas,California
66543,Texas,Georgia,Pennsylvania,California
57053,Pennsylvania,California,Georgia,Texas
31029,Texas,Pennsylvania,Georgia,California
77217,Texas,California,Georgia,Pennsylvania
76116,Texas,Georgia,Pennsylvania,California
55447,Pennsylvania,Georgia,Texas,California
35559,Texas,Georgia,Pennsylvania,California
43217,Georgia,Pennsylvania,Texas,California
77902,Texas,California,Pennsylvania,Georgia
74337,California,Pennsylvania,Texas,Georgia
02117,Pennsylvania,Texas,Georgia,California
81638,Texas,Pennsylvania,California,Georgia
22216,Pennsylvania,Texas,Georgia,California
99012,California,Texas,Georgia,Pennsylvania
98380,Texas,California,Georgia,Pennsylvania
08101,Pennsylvania,Georgia,Texas,California
15108,Georgia,Pennsylvania,California,Texas
83837,California,Texas,Georgia,Pennsylvania
16136,Georgia,Pennsylvania,Texas,California
96006,Texas,California,Georgia,Pennsylvania
74569,Texas,Georgia,California,Pennsylvania
33037,Texas,Georgia,Pennsylvania,California
78674,Texas,Pennsylvania,Georgia,California
26348,Georgia,Pennsylvania,Texas,California
04110,Pennsylvania,Georgia,Texas,California
84005,Texas,Pennsylvania,California,Georgia
48112,California,Georgia,Pennsylvania,Texas
20442,Pennsylvania,Georgia,Texas,California
66944,Texas,Georgia,Pennsylvania,California
38863,Texas,Georgia,Pennsylvania,California
70040,Georgia,Texas,Pennsylvania,California
61570,Texas,Pennsylvania,Georgia,California
43782,Georgia,Texas,California,Pennsylvania
30114,Texas,Georgia,Pennsylvania,California
49841,Georgia,Texas,Pennsylvania,California
01144,Pennsylvania,Georgia,Texas,California
30036,Texas,Georgia,Pennsylvania,California
92039,California,Texas,Pennsylvania,Georgia
52499,Georgia,Texas,Pennsylvania,California
10159,Pennsylvania,Georgia,Texas,California
07962,Pennsylvania,Georgia,Texas,California
71950,California,Texas,Georgia,Pennsylvania
54764,Georgia,Texas,Pennsylvania,California
90712,California,Pennsylvania,Texas,Georgia
40581,Georgia,Pennsylvania,Texas,California
21746,Pennsylvania,Georgia,Texas,California
54895,Pennsylvania,Georgia,California,Texas
33111,Texas,Pennsylvania,Georgia,California
74643,Texas,California,Georgia,Pennsylvania
79172,Texas,California,Georgia,Pennsylvania
13290,Texas,Georgia,Pennsylvania,California
23829,Pennsylvania,Georgia,California,Texas
60002,Texas,Pennsylvania,California,Georgia
05647,Georgia,Pennsylvania,Texas,California
81610,California,Texas,Pennsylvania,Georgia
40019,Pennsylvania,Georgia,Texas,California
04254,Pennsylvania,Georgia,Texas,California
46307,Georgia,Texas,Pennsylvania,California
71029,Texas,Georgia,California,Pennsylvania
14471,Pennsylvania,Texas,Georgia,California
50452,Texas,Pennsylvania,Georgia,California
24608,Georgia,Pennsylvania,Texas,California
02212,Pennsylvania,Georgia,Texas,California
62286,Texas,Pennsylvania,Georgia,California
30522,Texas,Georgia,Pennsylvania,California
55601,Texas,California,Georgia,Pennsylvania
33435,Georgia,Texas,Pennsylvania,California
98807,California,Texas,Georgia,Pennsylvania
78071,Texas,Pennsylvania,Georgia,California
28213,Georgia,Pennsylvania,California,Texas
45122,Georgia,Texas,California,Pennsylvania
32730,Georgia,Texas,Pennsylvania,California
86038,Pennsylvania,Georgia,California,Texas
29426,Georgia,Pennsylvania,Texas,California
61815,Texas,Pennsylvania,Georgia,California
98392,Georgia,California,Texas,Pennsylvania
70784,Texas,Georgia,Pennsylvania,California
83118,California,Texas,Pennsylvania,Georgia
72569,Texas,Georgia,California,Pennsylvania
14260,Pennsylvania,Georgia,Texas,California
35895,Texas,Pennsylvania,Georgia,California
58542,Pennsylvania,California,Georgia,Texas
38543,Texas,Pennsylvania,Georgia,California
71820,Texas,Georgia,California,Pennsylvania
13431,Pennsylvania,Georgia,Texas,California
89047,California,Pennsylvania,Georgia,Texas
95053,California,Georgia,Texas,Pennsylvania
76306,California,Georgia,Pennsylvania,Texas
29512,Pennsylvania,Georgia,California,Texas
31016,Texas,Pennsylvania,Georgia,California
12929,Pennsylvania,Texas,Georgia,California
64168,Texas,Georgia,Pennsylvania,California
37349,Pennsylvania,California,Georgia,Texas
39078,Georgia,California,Texas,Pennsylvania
49727,California,Georgia,Pennsylvania,Texas
07627,Pennsylvania,Georgia,Texas,California
71851,Texas,Georgia,Pennsylvania,California
59451,Texas,California,Georgia,Pennsylvania
33054,Georgia,Texas,Pennsylvania,California
61801,Texas,Pennsylvania,Georgia,California
29030,Georgia,Pennsylvania,Texas,California
20077,Pennsylvania,Georgia,Texas,California
42220,Texas,Georgia,Pennsylvania,California
30474,Georgia,Texas,Pennsylvania,California
61754,Texas,Pennsylvania,Georgia,California
33571,Georgia,Texas,Pennsylvania,California
73722,Texas,California,Georgia,Pennsylvania
20418,Pennsylvania,Georgia,Texas,California
50607,Texas,Pennsylvania,Georgia,California
13674,Pennsylvania,Georgia,Texas,California
77415,Texas,Pennsylvania,Georgia,California
30204,Texas,Georgia,Pennsylvania,California
23002,Pennsylvania,Georgia,Texas,California
32362,Georgia,Texas,Pennsylvania,California
11760,Pennsylvania,Georgia,Texas,California
41179,Georgia,Pennsylvania,Texas,California
63367,Texas,Pennsylvania,Georgia,California
15775,Pennsylvania,Texas,Georgia,California
33012,Georgia,Texas,Pennsylvania,California
13138,Pennsylvania,Georgia,Texas,California
11499,Pennsylvania,Georgia,Texas,California
67525,Texas,Georgia,Pennsylvania,California
22039,Pennsylvania,Georgia,Texas,California
24606,Georgia,Pennsylvania,Texas,California
45503,Pennsylvania,Texas,Georgia,California
98560,California,Georgia,Texas,Pennsylvania
13637,Georgia,Pennsylvania,Texas,California
67671,Texas,Georgia,Pennsylvania,California
25026,Pennsylvania,Texas,Georgia,California
01585,Pennsylvania,Georgia,Texas,California
92116,California,Texas,Pennsylvania,Georgia
65638,Pennsylvania,California,Texas,Georgia
05602,Texas,Pennsylvania,Georgia,California
47852,Georgia,Pennsylvania,Texas,California
54226,Texas,Pennsylvania,Georgia,California
23220,Georgia,Pennsylvania,Texas,California
12492,Pennsylvania,Georgia,Texas,California
13425,Texas,Pennsylvania,Georgia,California
45838,Texas,California,Georgia,Pennsylvania
62681,Texas,Pennsylvania,Georgia,California
20725,Pennsylvania,Georgia,Texas,California
65345,Georgia,Texas,Pennsylvania,California
61278,Texas,Pennsylvania,Georgia,California
71639,Texas,Georgia,California,Pennsylvania
46580,Texas,Pennsylvania,Georgia,California
71901,Texas,California,Pennsylvania,Georgia
53805,Georgia,Texas,Pennsylvania,California
04076,Pennsylvania,Georgia,Texas,California
53104,Georgia,California,Texas,Pennsylvania
67464,Georgia,Texas,Pennsylvania,California
24316,Georgia,Pennsylvania,Texas,California
36303,Texas,Georgia,Pennsylvania,California
85271,California,Texas,Pennsylvania,Georgia
43435,Pennsylvania,Texas,Georgia,California
53584,Texas,Pennsylvania,Georgia,California
46222,Texas,Georgia,Pennsylvania,California
79758,Texas,Pennsylvania,Georgia,California
90309,California,Texas,Pennsylvania,Georgia
75135,Texas,California,Georgia,Pennsylvania
33769,Georgia,Texas,Pennsylvania,California
33574,Georgia,Texas,Pennsylvania,California
35089,Texas,Georgia,Pennsylvania,California
67022,Georgia,Pennsylvania,Texas,California
03249,Pennsylvania,Georgia,Texas,California
61067,Texas,Pennsylvania,California,Georgia
89012,California,Georgia,Texas,Pennsylvania
95316,California,Georgia,Texas,Pennsylvania
14730,Pennsylvania,Georgia,Texas,California
48009,Georgia,Pennsylvania,Texas,California
42757,Texas,Georgia,Pennsylvania,California
32878,Georgia,Texas,Pennsylvania,California
30907,Georgia,Texas,Pennsylvania,California
30260,Georgia,Texas,Pennsylvania,California
93718,California,Texas,Georgia,Pennsylvania
08096,Pennsylvania,Georgia,Texas,California
78162,Texas,California,Georgia,Pennsylvania
94271,California,Texas,Georgia,Pennsylvania
73858,Texas,California,Georgia,Pennsylvania
98243,California,Texas,Pennsylvania,Georgia
21913,Pennsylvania,Georgia,Texas,California
39354,Texas,Georgia,Pennsylvania,California
39341,Georgia,California,Texas,Pennsylvania
42337,Texas,Georgia,Pennsylvania,California
94941,California,Texas,Pennsylvania,Georgia
28070,Georgia,Pennsylvania,California,Texas
24892,Pennsylvania,Texas,Georgia,California
37127,Georgia,Pennsylvania,Texas,California
89033,California,Texas,Georgia,Pennsylvania
41006,Pennsylvania,Georgia,Texas,California
89101,California,Texas,Pennsylvania,Georgia
33269,Georgia,Texas,Pennsylvania,California
30909,Georgia,Texas,Pennsylvania,California
33194,Georgia,Texas,Pennsylvania,California
28349,Georgia,Pennsylvania,Texas,California
55124,Texas,Georgia,Pennsylvania,California
48480,Georgia,Pennsylvania,Texas,California
94590,California,Texas,Georgia,Pennsylvania
47170,Georgia,Pennsylvania,Texas,California
52162,Texas,Pennsylvania,Georgia,California
25868,Pennsylvania,Texas,Georgia,California
22315,Pennsylvania,Georgia,Texas,California
76953,Texas,California,Georgia,Pennsylvania
19002,Pennsylvania,Georgia,Texas,California
40550,Georgia,Texas,California,Pennsylvania
58455,California,Georgia,Pennsylvania,Texas
55067,Texas,Georgia,Pennsylvania,California
24726,Georgia,Pennsylvania,Texas,California
32751,Georgia,Texas,Pennsylvania,California
76465,Texas,California,Pennsylvania,Georgia
23224,Pennsylvania,Georgia,California,Texas
04624,Pennsylvania,Georgia,Texas,California
97212,California,Texas,Georgia,Pennsylvania
37901,Texas,Pennsylvania,Georgia,California
48612,Georgia,Pennsylvania,Texas,California
33820,Georgia,California,Texas,Pennsylvania
48060,Georgia,Pennsylvania,Texas,California
10035,Pennsylvania,Georgia,Texas,California
32808,Georgia,Texas,Pennsylvania,California
27310,Georgia,Pennsylvania,Texas,California
27120,Georgia,Pennsylvania,Texas,California
20557,Pennsylvania,Georgia,Texas,California
22009,Pennsylvania,Texas,Georgia,California
16720,Georgia,Pennsylvania,Texas,California
95822,California,Texas,Georgia,Pennsylvania
68462,Pennsylvania,Texas,Georgia,California
26690,Georgia,Pennsylvania,Texas,California
95024,California,Texas,Georgia,Pennsylvania
24880,Texas,Georgia,Pennsylvania,California
11947,Pennsylvania,Georgia,Texas,California
43759,Georgia,Pennsylvania,Texas,California
23881,Pennsylvania,Texas,Georgia,California
18237,Pennsylvania,Georgia,Texas,California
49651,Georgia,Pennsylvania,Texas,California
80129,Texas,California,Pennsylvania,Georgia
61520,Texas,Pennsylvania,Georgia,California
71667,Texas,California,Georgia,Pennsylvania
98047,California,Texas,Georgia,Pennsylvania
60642,Texas,Pennsylvania,California,Georgia
33858,Georgia,California,Texas,Pennsylvania
84171,California,Texas,Pennsylvania,Georgia
29333,Georgia,Pennsylvania,Texas,California
76044,Texas,Georgia,California,Pennsylvania
79342,Texas,Pennsylvania,California,Georgia
79512,California,Pennsylvania,Texas,Georgia
15270,Georgia,Pennsylvania,Texas,California
85263,Pennsylvania,California,Texas,Georgia
63932,Texas,Pennsylvania,Georgia,California
27619,Georgia,Pennsylvania,Texas,California
25064,Georgia,Pennsylvania,Texas,California
67275,Texas,Georgia,Pennsylvania,California
71613,Texas,California,Georgia,Pennsylvania
21901,Pennsylvania,Georgia,Texas,California
08558,Pennsylvania,Georgia,Texas,California
44181,Georgia,Pennsylvania,California,Texas
55125,Texas,Pennsylvania,Georgia,California
16111,Georgia,Pennsylvania,Texas,California
62995,Texas,Pennsylvania,California,Georgia
50702,Pennsylvania,Georgia,Texas,California
57364,Texas,California,Pennsylvania,Georgia
36856,Texas,Georgia,Pennsylvania,California
71243,Georgia,Pennsylvania,Texas,California
60926,Pennsylvania,Georgia,California,Texas
64034,Texas,Georgia,Pennsylvania,California
98375,California,Georgia,Pennsylvania,Texas
53075,Pennsylvania,Georgia,Texas,California
10982,Pennsylvania,Georgia,Texas,California
28115,Georgia,Pennsylvania,Texas,California
67354,Texas,California,Georgia,Pennsylvania
46859,Texas,Georgia,Pennsylvania,California
90755,California,Texas,Pennsylvania,Georgia
13685,Pennsylvania,Georgia,Texas,California
98019,California,Texas,Georgia,Pennsylvania
14008,Pennsylvania,Georgia,Texas,California
94205,California,Georgia,Texas,Pennsylvania
95120,California,Texas,Pennsylvania,Georgia
28531,Georgia,Pennsylvania,Texas,California
03745,Pennsylvania,Georgia,Texas,California
